epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.624,5.02334,7.65314,3.164,0,0,0,0,4.28664,4.45105,2.26555,0.0673938,3.26389e-05,3.26389e-05
2,708.669,4.30931,4.46712,2.01635,0,0,0,0,4.13904,4.93278,2.02641,0.0340934,6.56457e-05,6.56457e-05
3,1028.01,4.23772,4.17245,1.86374,0.02023,0.00155,0.01021,0.00241,4.01529,4.8289,1.93138,0.000792767,9.83224e-05,9.83224e-05
4,1336.58,4.14862,4.02276,1.79524,0.00876,0.0794,0.00915,0.002,3.84422,3.3656,1.79232,9.8515e-05,9.8515e-05,9.8515e-05
5,1684.41,4.06407,3.90602,1.76311,0.0117,0.09716,0.01148,0.00236,3.80361,3.13984,1.76581,9.802e-05,9.802e-05,9.802e-05
6,2016.77,3.9813,3.72402,1.69041,0.01443,0.11794,0.01597,0.00356,3.72593,2.98621,1.731,9.7525e-05,9.7525e-05,9.7525e-05
7,2325.31,3.88504,3.68562,1.67079,0.01504,0.1128,0.01587,0.00335,3.6587,2.94916,1.73628,9.703e-05,9.703e-05,9.703e-05
8,2608.76,3.80794,3.53672,1.63375,0.07223,0.05761,0.0246,0.00571,3.68957,2.76163,1.79829,9.6535e-05,9.6535e-05,9.6535e-05
9,2919.29,3.74162,3.49151,1.59935,0.09674,0.08169,0.04043,0.00978,3.48959,2.69571,1.69181,9.604e-05,9.604e-05,9.604e-05
10,3211.65,3.62459,3.36622,1.57109,0.07431,0.09369,0.03235,0.00758,3.58948,2.68297,1.64064,9.5545e-05,9.5545e-05,9.5545e-05
11,3494.44,3.54954,3.29968,1.55279,0.16897,0.09601,0.05286,0.01374,3.29109,2.6756,1.54717,9.505e-05,9.505e-05,9.505e-05
12,3763.92,3.45022,3.19686,1.51801,0.17518,0.12968,0.07404,0.01886,3.27404,2.47306,1.58132,9.4555e-05,9.4555e-05,9.4555e-05
13,4017.46,3.40672,3.1648,1.4994,0.23726,0.12715,0.09745,0.02743,3.09962,2.3873,1.4981,9.406e-05,9.406e-05,9.406e-05
14,4291.24,3.34446,3.10024,1.46018,0.1934,0.14507,0.0841,0.02227,3.11311,2.42478,1.4759,9.3565e-05,9.3565e-05,9.3565e-05
15,4603.77,3.2866,3.01018,1.42945,0.26198,0.16553,0.12242,0.03431,2.97415,2.35488,1.43917,9.307e-05,9.307e-05,9.307e-05
16,4896.07,3.24157,2.92753,1.41728,0.1957,0.17393,0.1157,0.03441,2.94227,2.19717,1.45455,9.2575e-05,9.2575e-05,9.2575e-05
17,5209.91,3.15672,2.85607,1.40011,0.17912,0.18043,0.09973,0.02803,3.00829,2.33187,1.42172,9.208e-05,9.208e-05,9.208e-05
18,5490.38,3.12639,2.82459,1.38621,0.21677,0.18459,0.1197,0.03335,2.96972,2.20768,1.44425,9.1585e-05,9.1585e-05,9.1585e-05
19,5776.31,3.12392,2.82074,1.38947,0.24941,0.20462,0.1487,0.04281,2.82033,2.20836,1.38542,9.109e-05,9.109e-05,9.109e-05
20,6032.07,3.06045,2.76003,1.37293,0.23364,0.21172,0.14905,0.04477,2.78164,2.17604,1.38842,9.0595e-05,9.0595e-05,9.0595e-05
21,6345.76,3.05163,2.70489,1.37087,0.25637,0.23271,0.16561,0.04856,2.75513,2.14286,1.35147,9.01e-05,9.01e-05,9.01e-05
22,6626.6,3.00246,2.72806,1.34494,0.22023,0.22407,0.14548,0.04257,2.73307,2.12698,1.35731,8.9605e-05,8.9605e-05,8.9605e-05
23,6897.08,2.9621,2.6501,1.33707,0.21918,0.22783,0.14573,0.0429,2.7755,2.11371,1.38665,8.911e-05,8.911e-05,8.911e-05
24,7215.81,2.93023,2.59398,1.31414,0.24311,0.25095,0.17339,0.05159,2.73269,2.06561,1.36029,8.8615e-05,8.8615e-05,8.8615e-05
25,7529.51,2.91151,2.59119,1.33166,0.26135,0.24084,0.169,0.05226,2.63067,2.0954,1.31428,8.812e-05,8.812e-05,8.812e-05
26,7817.02,2.89161,2.5629,1.30867,0.21959,0.24147,0.1485,0.04468,2.71361,2.10112,1.34228,8.7625e-05,8.7625e-05,8.7625e-05
27,8104.96,2.87805,2.55275,1.31824,0.22094,0.26881,0.16843,0.04941,2.74835,2.09012,1.34055,8.713e-05,8.713e-05,8.713e-05
28,8378.65,2.87287,2.54636,1.30626,0.26037,0.27762,0.1805,0.05394,2.61325,2.05233,1.31268,8.6635e-05,8.6635e-05,8.6635e-05
29,8669.17,2.82421,2.48197,1.29897,0.26711,0.28595,0.1972,0.06103,2.62978,2.03984,1.3234,8.614e-05,8.614e-05,8.614e-05
30,8929.37,2.83353,2.48926,1.29049,0.31011,0.27403,0.21577,0.06799,2.59756,2.03978,1.29971,8.5645e-05,8.5645e-05,8.5645e-05
31,9212.15,2.80675,2.45107,1.28292,0.28227,0.29739,0.20047,0.0616,2.5974,2.02529,1.31067,8.515e-05,8.515e-05,8.515e-05
